2022-02-24 02:11:08.161120+00:00 nozzle: 2 | time: 1645668668.16105 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.162126+00:00 nozzle: 1 | time: 1645668668.1619902 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.162836+00:00 nozzle: 2 | time: 1645668668.1627417 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.163451+00:00 nozzle: 2 | time: 1645668668.1633658 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.163899+00:00 nozzle: 3 | time: 1645668668.1638315 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.164321+00:00 nozzle: 2 | time: 1645668668.1642482 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.165466+00:00 [INFO] onDur 0.02277460098266601 for nozzle 0 received.
2022-02-24 02:11:08.169702+00:00 [INFO] onDur 0.033551120758056635 for nozzle 3 received.
2022-02-24 02:11:08.172695+00:00 [INFO] onDur 0.02642121315002441 for nozzle 2 received.
2022-02-24 02:11:08.176462+00:00 [INFO] onDur 0.02611031532287597 for nozzle 1 received.
2022-02-24 02:11:08.178414+00:00 [INFO] onDur 0.006517553329467768 for nozzle 3 received.
2022-02-24 02:11:08.283992+00:00 nozzle: 2 | time: 1645668668.2838945 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.284573+00:00 nozzle: 0 | time: 1645668668.2845101 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.285011+00:00 nozzle: 1 | time: 1645668668.2849436 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.285449+00:00 nozzle: 0 | time: 1645668668.2853878 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.285908+00:00 nozzle: 1 | time: 1645668668.285843 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.286329+00:00 nozzle: 0 | time: 1645668668.2862701 | location 0 | delay: 0 | duration: 0.15
